Domain,IP,TTL,Status,Response Time (ms),Timestamp
google.com,142.251.43.206,298,NOERROR,33.57,2025-07-31T13:06:37.546239
google.com,142.250.77.110,121,NOERROR,15.74,2025-07-31T13:07:10.215083
